epoch,ER,F1,dense_26_loss,dense_27_loss,dense_28_loss,loss
42,"""[0.5401301516094881, 0.616750289225492, 0.48679806601457865]""","""[0.5812992329257216, 0.7269407167222401, 0.5892394765662502]""",0.453989680355927,0.4578358085752556,0.3564777483832434,1.268303237212188
43,"""[0.5336225594214219, 0.616750289225492, 0.48679806601457865]""","""[0.5850335456526483, 0.7269407167222401, 0.5892394765662502]""",0.45617194244560344,0.45565993260015003,0.3541533275970123,1.2659852020804578
44,"""[0.5323210409838087, 0.616750289225492, 0.48679806601457865]""","""[0.5842813735829734, 0.7269407167222401, 0.5892394765662502]""",0.4546001040301642,0.4529152645629907,0.35199219610365273,1.259507566877881
45,"""[0.5258134487957425, 0.6163643378555136, 0.48679806601457865]""","""[0.5881082183469732, 0.7270511940819001, 0.5892394765662502]""",0.45265070980722527,0.4509143529277723,0.34989329990214657,1.2534583689077299
46,"""[0.5227765724413117, 0.6159783864855352, 0.48679806601457865]""","""[0.5912384424929628, 0.7269682057889136, 0.5892394765662502]""",0.45572907455039746,0.4484932447515807,0.347831709750248,1.2520540327668668
47,"""[0.5488069411935762, 0.5885758392170684, 0.48679806601457865]""","""[0.5777773168128673, 0.726878579188809, 0.5892394765662502]""",0.4565820486086174,0.44656084385035444,0.3459427269647434,1.2490856194237152
48,"""[0.5505422991103939, 0.58818988784709, 0.48679806601457865]""","""[0.5765159558866227, 0.7264000145962781, 0.5892394765662502]""",0.4517626170773994,0.44445633448622035,0.34411837118840205,1.2403373213888509
49,"""[0.5470715832767585, 0.5796989577075651, 0.48679806601457865]""","""[0.577912629367719, 0.7251202161019938, 0.5892394765662502]""",0.45047443346884536,0.44225396818266793,0.34243979482667114,1.2351681928487421
50,"""[0.5349240778590352, 0.5611732919486017, 0.48679806601457865]""","""[0.5838775279515479, 0.7211503223207062, 0.5892394765662502]""",0.44821176708187627,0.44028733905006506,0.3408015616932482,1.2293006668368907
51,"""[0.5479392622351674, 0.5746815898978458, 0.48679806601457865]""","""[0.5780855302168764, 0.719195875688803, 0.5892394765662502]""",0.4489012026084771,0.43844960978400577,0.3391852376970855,1.2265360510097087
52,"""[0.528416485670969, 0.5488228481092926, 0.48679806601457865]""","""[0.5889998016070259, 0.718505023208666, 0.5892394765662502]""",0.44942702326589207,0.43706724747989845,0.3376895336848521,1.2241838105137925
53,"""[0.54229934900551, 0.5619451946885584, 0.48679806601457865]""","""[0.579669864858934, 0.7178832478026217, 0.5892394765662502]""",0.44858333737663436,0.43513358302154564,0.3362538492154775,1.2199707763272738
54,"""[0.5457700648391454, 0.5611732919486017, 0.48679806601457865]""","""[0.5763826902608983, 0.7168908717015875, 0.5892394765662502]""",0.450917423793832,0.4333874518493709,0.3348666666029793,1.2191715395198406
